_id,id,username,aula,sede,polo,inDate,date,posto,outDate
5fabe4701bd2a03f4641ab53,80858,147,1,1,5,11/11/2020 14:17,11/11/2020 14:17,21,11/11/2020 17:25
5fabe47a1bd2a03f4641ab54,80600,72,11,1,6,11/11/2020 14:17,11/11/2020 14:17,33,11/11/2020 16:22
5fabe47c1bd2a03f4641ab55,81604,73,11,1,6,11/11/2020 14:17,11/11/2020 14:17,34,11/11/2020 16:17
5fabe49a1bd2a03f4641ab56,80502,152,1,1,5,11/11/2020 14:18,11/11/2020 14:18,22,11/11/2020 16:49
5fabe49e1bd2a03f4641ab57,80661,156,1,1,5,11/11/2020 14:18,11/11/2020 14:18,23,11/11/2020 19:05
5fabe4a31bd2a03f4641ab58,81056,154,1,1,5,11/11/2020 14:18,11/11/2020 14:18,24,11/11/2020 16:49
5fabe4a61bd2a03f4641ab59,82022,164,1,1,5,11/11/2020 14:18,11/11/2020 14:18,25,11/11/2020 16:52
5fabe5501bd2a03f4641ab5a,81071,193,1,1,5,11/11/2020 14:21,11/11/2020 14:21,26,11/11/2020 17:07
5fabe6351bd2a03f4641ab67,80310,245,1,1,5,11/11/2020 14:25,11/11/2020 14:25,27,11/11/2020 19:05
5fabe6391bd2a03f4641ab68,80307,236,1,1,5,11/11/2020 14:25,11/11/2020 14:25,28,11/11/2020 16:59
5fabe63e1bd2a03f4641ab69,80737,242,1,1,5,11/11/2020 14:25,11/11/2020 14:25,29,11/11/2020 17:18
5fabe6431bd2a03f4641ab6a,80535,234,1,1,5,11/11/2020 14:25,11/11/2020 14:25,30,11/11/2020 19:05
5fabe9e064f3b8af345479db,81140,189,38,2,14,11/11/2020 14:40,11/11/2020 14:40,1,11/11/2020 19:05
5fabea3264f3b8af345479dc,81241,25,9,2,4,11/11/2020 14:42,11/11/2020 14:42,1,11/11/2020 14:42
5fabea5264f3b8af345479dd,81241,25,9,2,4,11/11/2020 14:42,11/11/2020 14:42,2,11/11/2020 19:05
5fabea5964f3b8af345479de,81902,26,9,2,4,11/11/2020 14:42,11/11/2020 14:42,3,11/11/2020 19:05
5fabea6d64f3b8af345479df,81181,28,9,2,4,11/11/2020 14:43,11/11/2020 14:43,4,11/11/2020 19:05
5fabebbd64f3b8af345479f5,72242,481,37,2,17,11/11/2020 14:48,11/11/2020 14:48,1,11/11/2020 19:05
5fabebcb64f3b8af345479f6,57680,482,37,2,17,11/11/2020 14:48,11/11/2020 14:48,2,11/11/2020 19:05
5fabef6d64f3b8af345479f8,74113,59,9,2,4,11/11/2020 15:04,11/11/2020 15:04,5,11/11/2020 19:05
5fabefc164f3b8af345479f9,81444,68,9,2,4,11/11/2020 15:05,11/11/2020 15:05,6,11/11/2020 17:13
5fabf02864f3b8af345479fa,81493,455,38,2,14,11/11/2020 15:07,11/11/2020 15:07,2,11/11/2020 19:05
